ConveyorA;Sent;1570789845508
ConveyorB;Received;1570789859903
ConveyorB;Sent;1570789860184
ConveyorC;Received;1570789862340
ConveyorC;Sent;1570789862653
ConveyorD;Received;1570789865762
ConveyorD;Sent;1570789876347
ConveyorE;Received;1570789878628
ConveyorE;Sent;1570789878925
ConveyorF;Received;1570789882284
ConveyorF;Sent;1570789893091
ConveyorA;Received;1570789895965
ConveyorA;Sent;1570789898231
ConveyorB;Received;1570789910390
ConveyorB;Sent;1570789911827
ConveyorC;Received;1570789913979
ConveyorC;Sent;1570789914229
ConveyorD;Received;1570789917338
ConveyorD;Sent;1570789927837
ConveyorE;Received;1570789930243
ConveyorE;Sent;1570789930477
ConveyorF;Received;1570789933836
ConveyorF;Sent;1570789944665
ConveyorA;Received;1570789947458
ConveyorA;Sent;1570789949724
ConveyorB;Received;1570789961844
ConveyorB;Sent;1570789963266
ConveyorC;Received;1570789965422
ConveyorC;Sent;1570789965656
ConveyorD;Received;1570789968703
ConveyorD;Sent;1570789979192
ConveyorE;Received;1570789981473
ConveyorE;Sent;1570789981708
ConveyorF;Received;1570789985067
ConveyorF;Sent;1570789995884
ConveyorA;Received;1570789998525
ConveyorA;Sent;1570790000793
ConveyorB;Received;1570790013021
ConveyorB;Sent;1570790014459
ConveyorC;Received;1570790016615
ConveyorC;Sent;1570790016849
ConveyorD;Received;1570790019974
ConveyorD;Sent;1570790030473
ConveyorE;Received;1570790032738
ConveyorE;Sent;1570790032973
ConveyorF;Received;1570790036406
ConveyorF;Sent;1570790047232
ConveyorA;Received;1570790050466
ConveyorA;Sent;1570790052732
ConveyorB;Received;1570790065078
ConveyorB;Sent;1570790066500
ConveyorC;Received;1570790068662
ConveyorC;Sent;1570790068896
ConveyorD;Received;1570790072021
ConveyorD;Sent;1570790082520
ConveyorE;Received;1570790084785
ConveyorE;Sent;1570790085019
ConveyorF;Received;1570790088269
ConveyorF;Sent;1570790099091
ConveyorA;Received;1570790101841
ConveyorA;Sent;1570790104091
ConveyorB;Received;1570790116189
ConveyorB;Sent;1570790117627
ConveyorC;Received;1570790122298
ConveyorC;Sent;1570790122533
ConveyorD;Received;1570790125656
ConveyorD;Sent;1570790136142
ConveyorE;Received;1570790138423
ConveyorE;Sent;1570790138658
ConveyorF;Received;1570790142017
ConveyorF;Sent;1570790152844
ConveyorA;Received;1570790155251
ConveyorA;Sent;1570790157488
ConveyorB;Received;1570790169589
ConveyorB;Sent;1570790171011
ConveyorC;Received;1570790173292
ConveyorC;Sent;1570790173542
ConveyorD;Received;1570790176651
ConveyorD;Sent;1570790187140
ConveyorE;Received;1570790191091
ConveyorE;Sent;1570790191326
ConveyorF;Received;1570790194669
ConveyorF;Sent;1570790205496
ConveyorA;Received;1570790208262
ConveyorA;Sent;1570790210496
ConveyorB;Received;1570790222658
ConveyorB;Sent;1570790224080
ConveyorC;Received;1570790226486
ConveyorC;Sent;1570790226720
ConveyorD;Received;1570790229845
ConveyorD;Sent;1570790240349
ConveyorE;Received;1570790242614
ConveyorE;Sent;1570790242848
ConveyorF;Received;1570790246216
ConveyorF;Sent;1570790257026
ConveyorA;Received;1570790259542
ConveyorA;Sent;1570790261791
ConveyorB;Received;1570790273909
ConveyorB;Sent;1570790275346
ConveyorC;Received;1570790277502
ConveyorC;Sent;1570790277745
ConveyorD;Received;1570790280760
ConveyorD;Sent;1570790291258
ConveyorE;Received;1570790293539
ConveyorE;Sent;1570790293773
ConveyorF;Received;1570790297133
ConveyorF;Sent;1570790307943
ConveyorA;Received;1570790310584
ConveyorA;Sent;1570790312841
ConveyorB;Received;1570790324955
ConveyorB;Sent;1570790326393
ConveyorC;Received;1570790328549
ConveyorC;Sent;1570790328783
ConveyorD;Received;1570790331908
ConveyorD;Sent;1570790342411
ConveyorE;Received;1570790344677
ConveyorE;Sent;1570790344912
ConveyorF;Received;1570790348208
ConveyorF;Sent;1570790359008
ConveyorA;Received;1570790361898
ConveyorA;Sent;1570790364148
ConveyorB;Received;1570790376354
ConveyorB;Sent;1570790377788
ConveyorC;Received;1570790379959
ConveyorC;Sent;1570790380194
ConveyorD;Received;1570790383303
ConveyorD;Sent;1570790393791
ConveyorE;Received;1570790396072
ConveyorE;Sent;1570790396307
ConveyorF;Received;1570790399659
ConveyorF;Sent;1570790410455
ConveyorA;Received;1570790413088
ConveyorA;Sent;1570790415353
ConveyorB;Received;1570790427469
ConveyorB;Sent;1570790428906
ConveyorC;Received;1570790431062
ConveyorC;Sent;1570790431297
ConveyorD;Received;1570790434411
ConveyorD;Sent;1570790444904
ConveyorE;Received;1570790447060
ConveyorE;Sent;1570790447294
ConveyorF;Received;1570790450653
ConveyorF;Sent;1570790461441
ConveyorA;Received;1570790463957
